file,glove_type,defect_labels,split,lighting,background,notes
data/public/commons/fabric/images/Board of Trade Journal. London. 1916-12-28- Vol 95 Iss 1048 (IA sim great-britain-board-of-trade-board-of-trade-journal 1916-12-28 95 1048).pdf,fabric,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Beach Clean up during DWH (8743616725).jpg,fabric,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Blue Grass Chemical Agent-Destruction Pilot Plant Container Storage Facility (50612942223).jpg,fabric,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Electrical safety gloves.png,fabric,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/After washing 2020-09-18 15-51-18 157.jpg,fabric,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Argile de Saint-Joseph a l ecole de ceramique de Saint-Joseph-de-Beauce.jpg,fabric,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Gloves - 25005246147.jpg,fabric,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Catalog (IA catalog00newy).pdf,fabric,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/DW Arbeitshandschuhe.jpg,fabric,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Federal Register 1964-08-05- Vol 29 Iss 152 (IA sim federal-register-find 1964-08-05 29 152).pdf,fabric,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Antivibration gloves.jpg,fabric,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Wheelbarrow at City of London Cemetery and Crematorium Traditional Crematorium.jpg,fabric,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Disposable gloves 05.JPG,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Latex Einmalhandschuh.jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Molybdenum disulfide - 01.jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/How to don sterile gloves.pdf,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Dubai-20110717-00042.jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Disposable gloves 07.JPG,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
"data/public/commons/latex/images/Covid-19 PPE gloves dumped Tottenham style, London, England.jpg",latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Before the diaper change.jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Nitrile Glove for Clean Room.jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Latex glove cut at the palm.jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Nitrilhandschuhe verschiedenfarben.jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Latex gloves-pair.jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Green gloves 11 08 2018.jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Disposable gloves.jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Afterthediaperchange.jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Handschoenen-rubber0856.JPG,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/FDA Food Safety & Applied Nutrition Lab (3852) (7944691158).jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Disposable gloves 09.JPG,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Cut latex glove.jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Hygiene Handschuh aus dem Verbandskasten.jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Disposable gloves 04.JPG,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/De-Einmalhandschuh.ogg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Disposable gloves 02.JPG,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Pinky gloves.jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Akita 20220815064546 (52642151379).jpg,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
"data/public/commons/latex/images/Covid-19 PPE glove dumped Tottenham style, London, England.jpg",latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
"data/public/commons/latex/images/IDF Aid Mission to India, January 2001 (11047437423).jpg",latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Disposable gloves 01.JPG,latex,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/20221024 items - when visiting the hospital.jpg,latex,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/A biologist safety removes the bat from the net. (7645749140).jpg,latex,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Disposable gloves 03.JPG,latex,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Disposable gloves 06.JPG,latex,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Double Check the IV Bag DVIDS45543.jpg,latex,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Dominican Republic Medical Site CP25 (9188284).jpg,latex,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Nitrile disposable gloves.jpg,latex,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Latexhandschuh.jpg,latex,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Nitrilhandschuh.jpg,latex,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/FEMA - 396 - Photograph by Andrea Booher taken on 09-20-1999 in New Jersey.jpg,latex,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Nitrile powder free protective gloves.jpg,latex,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/latex/images/Disposable gloves 08.JPG,latex,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/A biologist safety removes the bat from the net. (7645749140).jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Nitrile disposable gloves.jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Latex glove cut at the palm.jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
"data/public/commons/nitrile/images/Covid-19 PPE gloves dumped Tottenham style, London, England.jpg",nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
"data/public/commons/nitrile/images/IDF Aid Mission to India, January 2001 (11047437423).jpg",nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Disposable gloves 08.JPG,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Akita 20220815064546 (52642151379).jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Disposable gloves 03.JPG,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Nitrilhandschuh.jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Green gloves 11 08 2018.jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Disposable gloves 09.JPG,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Handschoenen-rubber0856.JPG,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Disposable gloves 04.JPG,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Double Check the IV Bag DVIDS45543.jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/FDA Food Safety & Applied Nutrition Lab (3852) (7944691158).jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/20221024 items - when visiting the hospital.jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Disposable gloves 02.JPG,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Disposable gloves 05.JPG,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Latexhandschuh.jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Pinky gloves.jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Disposable gloves.jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Dominican Republic Medical Site CP25 (9188284).jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/How to don sterile gloves.pdf,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Nitrilhandschuhe verschiedenfarben.jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Before the diaper change.jpg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/De-Einmalhandschuh.ogg,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Disposable gloves 06.JPG,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Disposable gloves 07.JPG,nitrile,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Hygiene Handschuh aus dem Verbandskasten.jpg,nitrile,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Afterthediaperchange.jpg,nitrile,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Disposable gloves 01.JPG,nitrile,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Molybdenum disulfide - 01.jpg,nitrile,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Dubai-20110717-00042.jpg,nitrile,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Nitrile powder free protective gloves.jpg,nitrile,,val,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Latex Einmalhandschuh.jpg,nitrile,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Latex gloves-pair.jpg,nitrile,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/FEMA - 396 - Photograph by Andrea Booher taken on 09-20-1999 in New Jersey.jpg,nitrile,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
"data/public/commons/nitrile/images/Covid-19 PPE glove dumped Tottenham style, London, England.jpg",nitrile,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Nitrile Glove for Clean Room.jpg,nitrile,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/nitrile/images/Cut latex glove.jpg,nitrile,,test,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
